hex_id,y_mean_kcal_ha,count,proj_x,proj_y,lon,lat
13469.0,8196133888.0,1467.0,1193093.4448360526,5004977.666529257,14.30930591831961,41.93917094763636
13470.0,7261754880.0,331.0,1193093.4448360526,5154977.666529257,14.506957952785243,43.301475972705724
13471.0,8238206976.0,1171.0,1193093.4448360526,5304977.666529257,14.719252509841558,44.67525725066239
13472.0,8715416576.0,1895.0,1193093.4448360526,5454977.666529257,14.947661630899038,46.06126531413096
13473.0,6528995328.0,1856.0,1193093.4448360526,5604977.666529257,15.19388504513596,47.460316551298604
13474.0,8925309952.0,1858.0,1193093.4448360526,5754977.666529257,15.459896742048572,48.87330271245287
13475.0,8478885888.0,1856.0,1193093.4448360526,5904977.666529257,15.748003770346893,50.30120226592672
13476.0,9076091904.0,1857.0,1193093.4448360526,6054977.666529257,16.06092124123083,51.74509407294058
13477.0,8940268544.0,1857.0,1193093.4448360526,6204977.666529257,16.401869085958232,53.206174000091565
13478.0,8774973440.0,753.0,1193093.4448360526,6354977.666529257,16.774698432415764,54.6857752955933
13479.0,7487152128.0,190.0,1193093.4448360526,6504977.666529257,17.184058938642846,56.18539384803576
13480.0,7547407872.0,598.0,1193093.4448360526,6654977.666529257,17.63562374138734,57.70671986680809
13481.0,6579061248.0,1313.0,1193093.4448360526,6804977.666529257,18.13639701562971,59.25167813896473
13482.0,5821410816.0,451.0,1193093.4448360526,6954977.666529257,18.695142546539014,60.82247993863523
13483.0,2587391744.0,97.0,1193093.4448360526,7104977.666529257,19.322993896235413,62.42169107775268
13484.0,2132089600.0,1419.0,1193093.4448360526,7254977.666529257,20.034344660620505,64.05232281325048
13485.0,1269400576.0,1824.0,1193093.4448360526,7404977.666529257,20.848184564436547,65.71795594627052
13486.0,171676640.0,1856.0,1193093.4448360526,7554977.666529257,21.79017166048432,67.42291455245318
13487.0,0.0,1857.0,1193093.4448360526,7704977.666529257,22.895973264279224,69.17251651404737
13488.0,0.0,750.0,1193093.4448360526,7854977.666529257,24.21690880633403,70.9734478552719
13548.0,3609879040.0,1387.0,1366298.5255929404,-1220022.3334707431,13.75905576669703,-9.885959822945638
13549.0,5887368704.0,1495.0,1366298.5255929404,-1070022.3334707431,13.729564269131455,-8.666668438329665
13550.0,8514079744.0,1693.0,1366298.5255929404,-920022.3334707431,13.704089626556096,-7.448889149612408
13551.0,9586264064.0,1857.0,1366298.5255929404,-770022.3334707431,13.682566283864993,-6.232404241138952
13552.0,9555412992.0,1858.0,1366298.5255929404,-620022.3334707431,13.664939356500774,-5.016998625510198
13553.0,9581741056.0,1856.0,1366298.5255929404,-470022.33347074315,13.651164236688137,-3.802459390026686
13554.0,9732638720.0,1857.0,1366298.5255929404,-320022.33347074315,13.641206276999318,-2.588575356681845
13555.0,10078371840.0,1894.0,1366298.5255929404,-170022.33347074315,13.635040546809766,-1.3751366528580118
13556.0,9579359232.0,1857.0,1366298.5255929404,-20022.33347074315,13.63265165826658,-0.16193429001481002
13557.0,9982280704.0,1856.0,1366298.5255929404,129977.66652925685,13.634033659378208,1.0512402522396895
13558.0,10139864064.0,1858.0,1366298.5255929404,279977.66652925685,13.639189992765575,2.264595439237301
13559.0,10144623616.0,1856.0,1366298.5255929404,429977.66652925685,13.648133519513292,3.4783400940044196
13560.0,10207266816.0,1856.0,1366298.5255929404,579977.6665292569,13.660886608445388,4.692683812185827
13561.0,10459788288.0,1893.0,1366298.5255929404,729977.6665292569,13.677481292043202,5.90783738166731
13562.0,9843538944.0,1856.0,1366298.5255929404,879977.6665292569,13.697959491143722,7.124013209485565
13563.0,5995006976.0,1857.0,1366298.5255929404,1029977.6665292569,13.72237331152603,8.341425758705427
